"","WBN_GC_L_0.25","WBN_GC_H_0.25","WBN_GC_L_0.50","WBN_GC_H_0.50","WBN_GC_L_0.75","WBN_GC_H_0.75","WBN_GC_L_1.00","WBN_GC_H_1.00","WBN_EN_L_0.25","WBN_EN_H_0.25","WBN_EN_L_0.50","WBN_EN_H_0.50","WBN_EN_L_0.75","WBN_EN_H_0.75","WBN_EN_L_1.00","WBN_EN_H_1.00","WBN_LP_L_0.25","WBN_LP_H_0.25","WBN_LP_L_0.50","WBN_LP_H_0.50","WBN_LP_L_0.75","WBN_LP_H_0.75","WBN_LP_L_1.00","WBN_LP_H_1.00"
"1",-0.98117,2.63697,-1.48656,3.00327,-2.14139,3.53677,-2.91535,4.18994,-0.765603,1.4139,-1.54788,2.14576,-2.33809,2.92639,-3.1332,3.73079,-0.99695,0.879478,-1.75773,1.69387,-2.53731,2.5204,-3.32737,3.35252
"2",-0.796653,0.813932,-1.59331,1.62786,-2.38996,2.4418,-3.18661,3.25573,-0.783239,1.21145,-1.57235,1.8281,-2.36424,2.56712,-3.15762,3.35291,-0.846711,0.88903,-1.57446,1.69518,-2.35434,2.50543,-3.14449,3.3172
"3",-1.56467,2.21194,-1.92175,2.56556,-2.52041,3.14842,-3.2162,3.88463,-0.794495,2.4109,-1.59765,2.69769,-2.40505,3.14396,-3.21483,3.7761,-0.842907,1.12711,-1.52496,1.95212,-2.29391,2.79516,-3.08923,3.64335
"4",-2.39866,1.28776,-2.52661,2.06335,-2.76933,2.97281,-3.51087,3.89575,-0.816517,1.30535,-1.66586,2.10525,-2.52891,3.0007,-3.39777,3.92055,-0.929129,1.20078,-1.70226,2.11834,-2.54348,3.04702,-3.40401,3.97959
"5",-1.32865,1.19451,-1.91141,2.01861,-2.68278,2.8979,-3.51643,3.7922,-0.816714,1.30069,-1.66765,2.08074,-2.53148,2.94898,-3.40108,3.8409,-0.929198,1.15617,-1.70262,2.03924,-2.54427,2.93689,-3.40535,3.84035
"6",-0.94223,1.37232,-1.8579,1.91062,-2.77445,2.83149,-3.69124,3.77721,-0.916814,1.21823,-1.83381,1.91205,-2.75085,2.85112,-3.6679,3.79784,-0.698572,1.25247,-1.53262,2.19944,-2.44907,3.1471,-3.3659,4.09498
"7",-0.865004,0.913178,-1.73001,1.82636,-2.59501,2.73953,-3.46002,3.65271,-0.778768,1.54207,-1.57722,2.38713,-2.38957,3.26112,-3.21323,4.14892,-1.09136,0.904943,-1.9303,1.77447,-2.78213,2.66919,-3.63901,3.57263
"8",-2.21789,2.17668,-2.34691,2.30158,-2.67534,3.01276,-3.5054,3.89321,-0.816186,1.30507,-1.66713,2.0959,-2.53119,2.97407,-3.40109,3.87492,-0.929498,1.14793,-1.70543,2.03552,-2.54899,2.94028,-3.41115,3.85147
"9",-1.36958,1.20941,-1.98261,2.04726,-2.76785,2.94215,-3.59233,3.85203,-0.816983,1.36465,-1.66954,2.15742,-2.53568,3.0311,-3.40795,3.93409,-1.02735,1.16317,-1.7948,2.05858,-2.61739,2.97039,-3.46367,3.88872
"10",-2.28971,1.80743,-2.4132,2.29818,-2.673,3.11566,-3.30062,3.99204,-0.83205,1.20282,-1.68232,1.95469,-2.53829,2.82427,-3.3967,3.71428,-0.842196,1.11674,-1.62593,1.99366,-2.4665,2.88552,-3.31897,3.7823
"11",-2.39865,1.28748,-2.52651,2.04959,-2.76605,2.93484,-3.50834,3.83447,-0.815994,1.30398,-1.66656,2.09178,-2.53029,2.96671,-3.39987,3.86449,-0.929322,1.14971,-1.70387,2.03651,-2.54639,2.93915,-3.40796,3.8478
"12",-2.39864,1.28702,-2.5265,2.03555,-2.76614,2.91524,-3.50991,3.80921,-0.815829,1.30119,-1.66593,2.08164,-2.52906,2.94969,-3.39801,3.84118,-0.929241,1.14761,-1.70292,2.02952,-2.54449,2.92662,-3.40524,3.82959
"13",-1.4333,1.65103,-1.83739,2.18274,-2.64375,2.9167,-3.48,3.76668,-0.766055,1.54013,-1.55682,2.37339,-2.36748,3.23058,-3.19412,4.09942,-1.11393,1.07035,-1.94511,1.89281,-2.79157,2.74545,-3.64538,3.61347
"14",-2.32427,1.30293,-2.57347,2.07236,-2.94544,2.93349,-3.50054,3.81874,-0.814452,1.30367,-1.66196,2.0876,-2.52254,2.95506,-3.38905,3.84461,-0.929521,1.14281,-1.70186,2.02067,-2.5408,2.91466,-3.39891,3.81486
"15",-1.626,1.20708,-1.93176,2.03655,-2.677,2.92203,-3.50971,3.82228,-0.815977,1.30435,-1.6665,2.09284,-2.53016,2.96844,-3.39967,3.86684,-0.92923,1.15408,-1.7033,2.04039,-2.54551,2.94355,-3.4069,3.85276
"16",-1.50156,1.43791,-1.90738,2.06131,-2.67645,2.941,-3.5094,3.84287,-0.816415,1.30705,-1.66731,2.09868,-2.53125,2.97742,-3.40101,3.87895,-0.929191,1.15834,-1.703,2.04907,-2.5451,2.9553,-3.40654,3.86754
"17",-2.19481,2.15733,-2.48969,2.73293,-3.02229,3.48233,-3.7377,4.30844,-0.845177,1.32512,-1.72324,2.13299,-2.61441,3.0243,-3.51155,3.93848,-0.933732,1.01169,-1.79981,1.92659,-2.69607,2.85452,-3.59813,3.78548
"18",-1.68616,1.29954,-2.15011,2.05384,-2.80343,2.93451,-3.54053,3.84342,-0.785373,1.36376,-1.5964,2.20367,-2.4138,3.10508,-3.23384,4.02342,-0.743457,1.19016,-1.55517,2.05861,-2.37325,2.97745,-3.19398,3.90548
"19",-1.38707,1.10594,-1.89182,1.97276,-2.64386,2.85938,-3.47706,3.75221,-0.837138,1.20877,-1.69944,1.96975,-2.56918,2.83878,-3.44203,3.7275,-0.878023,1.13779,-1.66762,2.00516,-2.52032,2.89312,-3.38635,3.78745
"20",-1.32769,1.20091,-1.90789,2.02661,-2.67659,2.9064,-3.50892,3.80039,-0.816026,1.30117,-1.66665,2.08099,-2.5304,2.94834,-3.39999,3.83914,-0.929152,1.16158,-1.70244,2.04034,-2.54401,2.93606,-3.40507,3.83796
"21",-1.4575,1.49393,-1.60978,2.25737,-2.31837,3.10899,-3.1277,3.98947,-0.812973,1.14358,-1.63763,1.92568,-2.46569,2.81293,-3.29518,3.71409,-0.884203,1.17346,-1.54779,2.05519,-2.34331,2.95423,-3.16157,3.85815
"22",-1.84562,1.84455,-2.00121,2.34259,-2.25306,2.88138,-2.59927,3.43771,-0.611706,1.16133,-1.22341,1.67692,-1.83512,2.30116,-2.44683,2.97298,-0.627683,0.799325,-1.21819,1.44794,-1.82109,2.13625,-2.42794,2.83198
"23",-1.62601,1.20364,-1.93199,2.02841,-2.67906,2.91117,-3.51081,3.8088,-0.815806,1.31177,-1.66583,2.0969,-2.52888,2.96844,-3.39774,3.86354,-0.929125,1.15509,-1.70226,2.04005,-2.54347,2.94135,-3.404,3.84847
"24",-1.62599,1.19621,-1.93199,2.02021,-2.67932,2.89887,-3.51116,3.79213,-0.815816,1.30126,-1.66588,2.08073,-2.52899,2.94782,-3.39791,3.83843,-0.929119,1.15097,-1.70229,2.03113,-2.54357,2.9274,-3.40419,3.82955
"25",-1.32845,2.20605,-1.90893,2.53195,-2.67707,3.08305,-3.50889,3.87942,-0.816555,2.4012,-1.6675,2.67175,-2.53142,3.10617,-3.40116,3.88326,-0.929714,1.15485,-1.70413,2.03984,-2.54634,2.93987,-3.40777,3.8458
"26",-1.626,1.1968,-1.93201,2.02308,-2.67967,2.90383,-3.51148,3.79912,-0.815825,1.30205,-1.66591,2.08397,-2.52902,2.95341,-3.39795,3.84619,-0.929164,1.1521,-1.70242,2.03409,-2.54373,2.93235,-3.40436,3.83652
"27",-2.39869,2.17671,-2.52668,2.3016,-2.76935,2.99401,-3.31408,3.8627,-0.816364,1.29452,-1.64137,2.05101,-2.46957,2.91543,-3.29929,3.81119,-0.919355,1.18667,-1.64383,2.08677,-2.4269,2.99564,-3.22896,3.90731
"28",-2.32428,1.30538,-2.57348,2.08678,-2.94544,2.95759,-3.49903,3.85078,-0.814739,2.33461,-1.66291,2.46201,-2.52424,2.98316,-3.39152,3.87225,-0.929577,1.15012,-1.70253,2.03636,-2.54234,2.93799,-3.40131,3.84545
"29",-2.35534,1.2161,-2.61318,2.02096,-3.00126,2.9056,-3.53829,3.80529,-0.815978,1.30768,-1.66657,2.09675,-2.53039,2.97193,-3.40012,3.86999,-0.928311,1.17763,-1.70027,2.05686,-2.54143,2.95913,-3.40243,3.86798
"30",-2.40045,1.29285,-2.52917,2.021,-2.77018,2.90469,-3.31673,3.80243,-0.816364,1.29332,-1.64137,2.04488,-2.46957,2.90544,-3.29929,3.79867,-0.919142,1.18714,-1.63975,2.08669,-2.41543,2.99432,-3.20989,3.9044
"31",-1.36958,1.2151,-1.90673,2.0487,-2.68507,2.94139,-3.51499,3.84904,-0.815988,1.53664,-1.66657,2.3634,-2.53035,3.2127,-3.40001,4.07859,-1.07671,1.15025,-1.89277,2.04012,-2.71993,2.94763,-3.55146,3.86221
"32",-2.32427,1.30475,-2.57348,2.08275,-2.94544,2.95089,-3.49903,3.84209,-0.814625,1.30652,-1.66265,2.09733,-2.52386,2.97126,-3.39105,3.8668,-0.929603,1.14471,-1.70283,2.02726,-2.54279,2.9266,-3.40179,3.83227
"33",-1.80054,1.10372,-1.96191,1.9605,-2.70675,2.87923,-3.55509,3.80729,-0.850101,1.26004,-1.71826,2.05029,-2.59275,2.9501,-3.47009,3.87272,-0.836455,1.20876,-1.60354,2.12624,-2.45879,3.05642,-3.33008,3.99001
"34",-2.31198,2.08902,-2.45288,2.50469,-2.7512,3.16562,-3.31411,3.99666,-0.827701,1.21806,-1.67232,1.94499,-2.52171,2.82312,-3.37307,3.72124,-0.831389,1.23511,-1.58305,2.08607,-2.40755,2.97404,-3.24497,3.87168
"35",-1.49538,1.42866,-2.06502,2.20403,-2.71904,3.06639,-3.4379,3.95358,-0.763008,1.45636,-1.54738,2.25909,-2.35844,3.13726,-3.18618,4.03776,-0.89002,1.13824,-1.64268,2.02666,-2.45864,2.93715,-3.2905,3.85346
"36",-1.47249,1.9267,-1.795,2.42708,-2.41549,3.04039,-3.22101,3.79489,-0.809211,1.21835,-1.62187,1.89495,-2.43583,2.76851,-3.25043,3.67049,-0.83433,1.17794,-1.4964,2.07541,-2.26646,2.98014,-3.07207,3.88732
"37",-1.41603,2.7488,-1.83724,3.23772,-2.64317,3.95058,-3.47891,4.73767,-0.766002,1.54131,-1.5564,2.3778,-2.36647,3.2403,-3.19255,4.11587,-1.11394,1.06776,-1.94513,1.88651,-2.79159,2.73944,-3.64539,3.61141
"38",-1.69528,1.1727,-2.22057,2.09176,-2.97967,3.04294,-3.82775,4.0056,-0.827759,1.31415,-1.7154,2.18499,-2.61932,3.13355,-3.5294,4.09923,-0.981124,1.27461,-1.83004,2.12196,-2.72571,3.07994,-3.63301,4.04941
"39",-1.18836,1.0298,-1.46212,1.61151,-1.95339,2.23724,-2.54207,2.87711,-0.431899,1.09462,-1.05258,1.66247,-1.69242,2.29931,-2.33776,2.94807,-0.711262,0.705183,-1.33187,1.32817,-1.97831,1.97746,-2.62714,2.63159
"40",-1.76541,1.03227,-2.1998,1.90508,-2.84171,2.8047,-3.61649,3.71167,-0.842818,1.23314,-1.70075,1.99461,-2.56551,2.8745,-3.43343,3.77692,-1.06809,1.17743,-1.70821,2.07114,-2.50952,2.97596,-3.35593,3.88548
"41",-2.39869,1.31025,-2.57359,2.10057,-2.94549,2.99191,-3.50014,3.90577,-0.816421,1.30759,-1.66198,2.1089,-2.52253,3.00105,-3.38902,3.91684,-0.929502,1.19508,-1.70178,2.10888,-2.54069,3.0335,-3.39877,3.96211
"42",-2.21789,2.17668,-2.3469,2.30132,-2.6754,3.01067,-3.50556,3.89074,-0.816279,1.3033,-1.66732,2.0917,-2.53144,2.96901,-3.40137,3.86956,-0.92947,1.15216,-1.70514,2.04162,-2.54852,2.94713,-3.41062,3.85869
"43",-1.80266,2.20515,-1.94742,2.52714,-2.63855,3.06474,-3.475,3.86364,-0.839719,2.40129,-1.69731,2.67213,-2.56339,3.09908,-3.43375,3.85032,-0.926866,1.17835,-1.68339,2.07093,-2.51676,2.97378,-3.37397,3.88109
"44",-1.62601,1.21361,-2.00549,2.04337,-2.73245,2.93224,-3.55599,3.83722,-0.816473,1.34743,-1.66884,2.1513,-2.53519,3.03112,-3.40784,3.93414,-0.92827,1.28964,-1.70116,2.11588,-2.54445,3.01477,-3.40816,3.92714
"45",-1.626,1.19911,-1.93194,2.02832,-2.67861,2.91253,-3.51051,3.8114,-0.815822,1.30321,-1.6659,2.08887,-2.52901,2.9624,-3.39793,3.85909,-0.929209,1.15472,-1.7025,2.04021,-2.54382,2.94212,-3.40443,3.84996
"46",-1.32834,1.19451,-1.91105,2.01711,-2.68255,2.89504,-3.5163,3.78802,-0.816718,1.30048,-1.66768,2.079,-2.53155,2.94574,-3.40118,3.83627,-0.929169,1.15531,-1.70258,2.03716,-2.54426,2.93355,-3.40539,3.83573
"47",-1.62601,1.41823,-1.932,2.0287,-2.67883,2.90662,-3.51059,3.80132,-0.815804,1.30356,-1.66583,2.08573,-2.52887,2.95509,-3.39772,3.8478,-0.929136,1.15173,-1.70228,2.03345,-2.54349,2.93157,-3.40402,3.83566
"48",-1.53683,1.32145,-1.8861,2.01919,-2.50849,2.81732,-3.26547,3.64741,-0.786285,1.14044,-1.59808,1.85614,-2.41608,2.68877,-3.23651,3.53783,-0.689487,1.13307,-1.47871,1.96011,-2.29022,2.80872,-3.10782,3.66255
"49",-1.51058,1.81019,-1.83775,2.37377,-2.64374,3.07685,-3.47993,3.85973,-0.766015,1.54014,-1.5565,2.3734,-2.36667,3.23055,-3.19284,4.09932,-1.11393,1.0681,-1.94512,1.88658,-2.79157,2.7367,-3.64537,3.60359
"50",-2.39834,1.28807,-2.52584,2.05436,-2.77317,2.93802,-3.44916,3.83247,-0.834017,1.24623,-1.6945,2.01201,-2.56324,2.88077,-3.43551,3.77216,-0.843407,1.16174,-1.61957,2.04505,-2.47237,2.94271,-3.33948,3.84475
"51",-0.542408,1.84021,-1.11468,2.34492,-1.69619,2.89993,-2.28293,3.47911,-0.58803,1.16247,-1.18202,1.67191,-1.78032,2.25127,-2.3817,2.85947,-0.610112,0.868236,-1.18903,1.47131,-1.78156,2.09833,-2.38096,2.73419
"52",-2.38649,2.03629,-2.52721,2.54399,-3.01944,3.28741,-3.73413,4.14685,-0.849744,1.32127,-1.7282,2.12223,-2.61779,3.01306,-3.51256,3.92893,-0.865303,1.15498,-1.68308,2.07269,-2.56493,3.00132,-3.45937,3.93348
"53",-2.39805,1.29077,-2.52551,2.07031,-2.76858,2.95261,-3.50562,3.85141,-0.816125,1.30448,-1.66707,2.0936,-2.53125,2.96964,-3.4013,3.86839,-0.930491,1.14879,-1.70758,2.03522,-2.55127,2.93821,-3.4135,3.84748
"54",-1.79839,1.20363,-1.94713,2.029,-2.67597,2.90936,-3.50822,3.80405,-0.816014,1.30154,-1.6666,2.08239,-2.53028,2.95069,-3.3998,3.84237,-0.929159,1.16196,-1.70241,2.04141,-2.54391,2.93791,-3.40489,3.84059
"55",-1.7984,1.22426,-1.94699,2.02849,-2.67746,2.91262,-3.49518,3.8135,-0.83715,1.5363,-1.69372,2.36131,-2.55906,3.20609,-3.42878,4.06348,-1.0767,1.16845,-1.89272,2.05955,-2.71971,2.96254,-3.55081,3.87088
"56",-1.56439,2.21197,-1.91518,2.56581,-2.51141,3.14916,-3.20611,3.88583,-0.794495,2.41095,-1.59764,2.698,-2.40505,3.14488,-3.21483,3.77727,-0.842903,1.12771,-1.52488,1.9533,-2.29383,2.79676,-3.08915,3.64531
"57",-1.44517,1.17752,-1.85214,1.93288,-2.5544,2.75566,-3.32292,3.59719,-0.783865,2.3346,-1.57859,2.46153,-2.38102,2.87065,-3.18864,3.6831,-0.919242,1.12013,-1.64058,1.95209,-2.41754,2.79816,-3.21385,3.65063
"58",-1.3145,1.17261,-1.85096,1.91666,-2.5441,2.73324,-3.3031,3.56964,-0.77652,1.29029,-1.56953,2.01742,-2.37147,2.82091,-3.17883,3.64982,-0.91915,1.14311,-1.63888,1.96765,-2.41313,2.80544,-3.20666,3.64952
"59",-2.21787,2.17664,-2.34687,2.29974,-2.67763,2.99605,-3.50683,3.86671,-0.816027,1.30189,-1.66652,2.08357,-2.53004,2.95319,-3.39936,3.84621,-0.929387,1.14507,-1.70447,2.02637,-2.54714,2.92411,-3.40856,3.82815
"60",-2.39866,1.41829,-2.52693,1.98591,-2.76993,2.80083,-3.29403,3.63379,-0.789284,1.28477,-1.59189,1.9964,-2.40104,2.78954,-3.21392,3.61201,-0.918979,1.09115,-1.62664,1.91483,-2.39714,2.75288,-3.19238,3.59657
"61",-1.44516,1.16391,-1.85511,1.89505,-2.55569,2.70728,-3.32249,3.54479,-0.783858,1.29049,-1.5784,2.0181,-2.38028,2.82334,-3.18705,3.6551,-0.919243,1.1309,-1.63976,1.9633,-2.4151,2.807,-3.20956,3.65656
"62",-2.32427,1.30434,-2.57348,2.08065,-2.94544,2.94823,-3.4992,3.83939,-0.814727,1.3048,-1.66287,2.09345,-2.52415,2.96657,-3.39137,3.8618,-0.929575,1.14869,-1.70251,2.03308,-2.54227,2.93316,-3.40119,3.8392
"63",-1.30582,1.22289,-1.86557,2.02587,-2.62038,2.89323,-3.44458,3.77345,-0.817296,1.29169,-1.66577,2.04845,-2.52544,2.89696,-3.39015,3.77104,-0.92685,1.15428,-1.68242,2.01947,-2.51274,2.90032,-3.36572,3.78696
